Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;G-xG;npxG;xAG;npxG+xAG;PrgC;PrgP;Gls/90;Ast/90;G+A/90;G-PK/90;G+A-PK/90;xG/90;xAG/90;xG+xAG/90;npxG/90;npxG+xAG/90;W;D;L;Rk;Pts;Pts/MP;Attendance;Shots;Pass_Cmp;Pass_Att;PSxG;PSxG+/-;GA;DistTrav;Budget(Millions);TirConc
Ajaccio;36;29.1;43.2;38;418;3420;38;22;12;34;16;6;9;86;10;36.1;-14.1;29.4;22.7;52.1;487;1169;0.58;0.32;0.89;0.42;0.74;0.95;0.6;1.55;0.77;1.37;7;5;26;18;26;0.68;7369;311;11216;15286;57.6;-14.4;74;73525;22;410
Angers;33;25.7;46.9;38;418;3420;38;31;18;49;27;4;4;69;5;40.9;-9.9;37.8;28;65.7;632;1393;0.82;0.47;1.29;0.71;1.18;1.08;0.74;1.81;0.99;1.73;4;6;28;20;18;0.47;9630;367;14103;17463;67.8;-9.2;81;89958;40;452
Auxerre;33;27.3;43.3;38;418;3420;38;32;17;49;25;7;9;54;6;42.9;-10.9;35.9;27.4;63.3;531;1284;0.84;0.45;1.29;0.66;1.11;1.13;0.72;1.85;0.94;1.67;8;11;19;17;35;0.92;15606;420;12386;15989;57.8;-4.2;63;80840;32;466
Brest;29;26.6;44.9;38;418;3420;38;43;28;71;36;7;8;63;2;43.3;-0.3;37.1;29.6;66.7;592;1311;1.13;0.74;1.87;0.95;1.68;1.14;0.78;1.92;0.98;1.76;11;11;16;14;44;1.16;12667;417;12486;16452;55.1;+3.1;54;82689;48;480
Clermont Foot;28;27.2;48.3;38;418;3420;38;44;26;70;37;7;10;72;5;47.5;-3.5;39.6;27.7;67.4;532;1304;1.16;0.68;1.84;0.97;1.66;1.25;0.73;1.98;1.04;1.77;17;8;13;8;59;1.55;11270;393;14212;17961;56.5;+7.5;49;89656;25;475
Lens;29;26.4;55.6;38;418;3420;38;66;49;115;60;6;9;63;3;66.7;-0.7;59.8;47.4;107.2;738;1829;1.74;1.29;3.03;1.58;2.87;1.76;1.25;3;1.57;2.82;25;9;4;2;84;2.21;37652;518;17809;21203;34.0;+6.0;29;112844;62;389
Lille;26;26;60.5;38;418;3420;38;65;40;105;54;11;12;82;1;68.7;-3.7;60;46.4;106.5;798;1982;1.71;1.05;2.76;1.42;2.47;1.81;1.22;3.03;1.58;2.8;19;10;9;5;67;1.76;36148;545;19266;22826;39.2;-1.8;44;112069;100;324
Lorient;30;25.2;46.6;38;418;3420;38;49;32;81;45;4;6;48;4;44.5;+4.5;39.8;29.4;69.2;753;1329;1.29;0.84;2.13;1.18;2.03;1.17;0.77;1.94;1.05;1.82;15;10;13;10;55;1.45;14992;397;14837;18087;52.4;+0.4;53;97993;50;563
Lyon;29;25.5;58.1;38;418;3420;38;63;45;108;57;6;8;61;3;61.1;+1.9;54.8;45.1;99.9;709;1883;1.66;1.18;2.84;1.5;2.68;1.61;1.19;2.8;1.44;2.63;18;8;12;7;62;1.63;46058;511;18956;22698;50.2;+6.2;47;110348;250;417
Marseille;30;27.3;56.7;38;418;3420;38;61;38;99;55;6;7;63;4;65.3;-4.3;60;47;107;759;1919;1.61;1;2.61;1.45;2.45;1.72;1.24;2.95;1.58;2.82;22;7;9;3;73;1.92;62687;546;16817;20689;37.7;+0.7;40;107143;250;422
Monaco;27;24.7;48.2;38;418;3420;38;69;47;116;64;5;8;64;5;62.1;+6.9;55.7;42.2;97.9;719;1820;1.82;1.24;3.05;1.68;2.92;1.63;1.11;2.74;1.47;2.58;19;8;11;6;65;1.71;7095;470;14414;18378;49.5;-5.5;58;91223;240;507
Montpellier;31;26;45.8;38;418;3420;38;64;41;105;57;7;7;68;10;52.2;+11.8;46.7;34.3;80.9;556;1250;1.68;1.08;2.76;1.5;2.58;1.37;0.9;2.27;1.23;2.13;15;5;18;12;50;1.32;13804;435;12420;16221;64.7;+4.7;62;80186;52;512
Nantes;29;26.7;45.9;38;418;3420;38;35;27;62;32;3;5;65;4;42.8;-7.8;39;31.8;70.8;705;1565;0.92;0.71;1.63;0.84;1.55;1.13;0.84;1.96;1.03;1.86;7;15;16;16;36;0.95;30002;443;13283;17169;56.3;+5.3;55;86725;75;448
Nice;34;26.5;51.5;38;418;3420;38;47;32;79;41;6;7;53;3;57.2;-10.2;51.7;39.3;91.1;774;1534;1.24;0.84;2.08;1.08;1.92;1.51;1.04;2.54;1.36;2.4;15;13;10;9;58;1.53;22286;507;17325;20784;39.0;+2.0;37;107128;100;441
Paris S-G;26;26.9;60.7;38;418;3420;38;86;62;148;81;5;7;57;5;78.2;+7.8;72.6;56.8;129.3;810;2029;2.26;1.63;3.89;2.13;3.76;2.06;1.49;3.55;1.91;3.4;27;4;7;1;85;2.24;46334;562;23694;26476;43.3;+4.3;40;129073;700;442
Reims;34;24.9;48.7;38;418;3420;38;45;31;76;38;7;8;70;9;61.5;-16.5;55.2;43.4;98.6;712;1717;1.18;0.82;2;1;1.82;1.62;1.14;2.76;1.45;2.59;12;15;11;11;51;1.34;13290;516;13670;17565;48.8;+5.8;45;92007;70;485
Rennes;32;25.2;55.4;38;418;3420;38;66;47;113;63;3;3;58;6;61.4;+4.6;59;45.4;104.4;774;1922;1.74;1.24;2.97;1.66;2.89;1.62;1.2;2.81;1.55;2.75;21;5;12;4;68;1.79;27722;526;17618;21193;38.9;+0.9;39;109626;90;370
Strasbourg;29;27.3;45.9;38;418;3420;38;48;28;76;43;5;7;73;7;48.5;-0.5;42.8;32.1;74.9;610;1351;1.26;0.74;2;1.13;1.87;1.28;0.84;2.12;1.13;1.97;9;13;16;15;40;1.05;25278;442;13337;17277;56.5;-2.5;59;85310;45;414
Toulouse;29;25.1;51.3;38;418;3420;38;50;33;83;46;4;4;62;3;52.5;-2.5;49.4;35.8;85.2;648;1737;1.32;0.87;2.18;1.21;2.08;1.38;0.94;2.33;1.3;2.24;13;9;16;13;48;1.26;23966;453;15392;19236;54.2;+0.2;57;92186;40;534
Troyes;32;25.8;42.6;38;418;3420;38;43;26;69;38;5;5;55;5;39.1;+3.9;35.6;27.9;63.5;638;1235;1.13;0.68;1.82;1;1.68;1.03;0.73;1.76;0.94;1.67;4;12;22;19;24;0.63;10004;390;12751;16193;71.3;-7.7;81;84027;45;618
